Año,Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,
2017,07/09/2017,"4,589.14014","4,655.04004","4,491.33008","4,599.87988","4,599.87988","1,844,620,032",,,,,,,,,,
2017,08/09/2017,"4,605.16016","4,661.00000","4,075.17993","4,228.75000","4,228.75000","2,700,890,112",,,,,,,,,,
2017,09/09/2017,"4,229.81006","4,308.81982","4,114.10986","4,226.06006","4,226.06006","1,386,230,016",,,,,,,,,,
2017,10/09/2017,"4,229.33984","4,245.43994","3,951.04004","4,122.93994","4,122.93994","1,679,090,048",,,,,,,,,,
2017,11/09/2017,"4,122.47022","4,261.66992","4,099.39990","4,161.27002","4,161.27002","1,557,330,048",,,,Histórico,2017,2018,2019,2020,2021,
2017,12/09/2017,"4,168.87988","4,344.64990","4,085.21997","4,130.81006","4,130.81006","1,864,530,048",,,Máximo,"63,503.45703","19,497.40039","17,527.00000","13,016.23145","29,001.72070","63,503.45703",
2017,13/09/2017,"4,131.97998","4,131.97998","3,789.91992","3,882.59009","3,882.59009","2,219,409,920",,,Minimo,"2,946.62012","3,154.94995","3,236.76172","3,399.47168","4,970.78809","29,374.15234",
2017,14/09/2017,"3,875.37012","3,920.60010","3,153.86011","3,154.94995","3,154.94995","2,716,310,016",,,,,,,,,,
2017,15/09/2017,"3,166.30005","3,733.44995","2,946.62012","3,637.52002","3,637.52002","4,148,069,888",,,,,,,,,,
2017,16/09/2017,"3,637.75000","3,808.84009","3,487.79004","3,625.04004","3,625.04004","1,818,400,000",,,Media,"14,816.95424","8,356.55172","7,572.29895","7,395.24628","11,125.79884","44,572.26441",
2017,17/09/2017,"3,606.28003","3,664.81006","3,445.63989","3,582.87988","3,582.87988","1,239,149,952",,,,,,,,,,
2017,18/09/2017,"3,591.09009","4,079.22998","3,591.09009","4,065.19995","4,065.19995","1,943,209,984",,,Mediana,"9,084.53320","6,588.81519","6,951.79981","7,824.23145","9,695.27832","44,859.68555",
2017,19/09/2017,"4,073.79004","4,094.07007","3,868.87012","3,924.96997","3,924.96997","1,563,980,032",,,,,,,,,,
2017,20/09/2017,"3,916.36011","4,031.38989","3,857.72998","3,905.94995","3,905.94995","1,213,830,016",,,,,,,,,,
2017,21/09/2017,"3,901.46997","3,916.41992","3,613.62988","3,631.04004","3,631.04004","1,411,480,064",,,,,,,,,,
2017,22/09/2017,"3,628.02002","3,758.27002","3,553.53003","3,630.69995","3,630.69995","1,194,829,952",,,,,,,,,,
2017,23/09/2017,"3,629.91992","3,819.20996","3,594.58008","3,792.39990","3,792.39990","928,113,984",,,,,,,,,,
2017,24/09/2017,"3,796.14990","3,796.14990","3,666.89990","3,682.84009","3,682.84009","768,014,976",,,,,,,,,,
2017,25/09/2017,"3,681.58008","3,950.25000","3,681.58008","3,926.07007","3,926.07007","1,374,210,048",,,,,,,,,,
2017,26/09/2017,"3,928.40991","3,969.88989","3,869.89990","3,892.35010","3,892.35010","1,043,740,032",,,,,,,,,,
2017,27/09/2017,"3,892.93994","4,210.04981","3,884.82007","4,200.66992","4,200.66992","1,686,880,000",,,,,,,,,,
2017,28/09/2017,"4,197.12988","4,279.31006","4,109.70020","4,174.72998","4,174.72998","1,712,320,000",,,,,,,,,,
2017,29/09/2017,"4,171.62012","4,214.62988","4,039.29004","4,163.06982","4,163.06982","1,367,049,984",,,,,,,,,,
2017,30/09/2017,"4,166.10986","4,358.43018","4,160.85986","4,338.70996","4,338.70996","1,207,449,984",,,,,,,,,,
2017,01/10/2017,"4,341.04981","4,403.74023","4,269.81006","4,403.74023","4,403.74023","1,208,210,048",,,,,,,,,,
2017,02/10/2017,"4,395.81006","4,470.22998","4,377.45996","4,409.31982","4,409.31982","1,431,730,048",,,,,,,,,,
2017,03/10/2017,"4,408.45996","4,432.47022","4,258.89014","4,317.47998","4,317.47998","1,288,019,968",,,,,,,,,,
2017,04/10/2017,"4,319.37012","4,352.31006","4,210.41992","4,229.35986","4,229.35986","1,116,770,048",,,,,,,,,,
