"","Close","Date"
"1",2498.370117,"2017-09-13"
"2",2495.620117,"2017-09-14"
"3",2500.22998,"2017-09-15"
"4",2503.870117,"2017-09-18"
"5",2506.649902,"2017-09-19"
"6",2508.23999,"2017-09-20"
"7",2500.600098,"2017-09-21"
"8",2502.219971,"2017-09-22"
"9",2496.659912,"2017-09-25"
"10",2496.840088,"2017-09-26"
"11",2507.040039,"2017-09-27"
"12",2510.060059,"2017-09-28"
"13",2519.360107,"2017-09-29"
"14",2529.120117,"2017-10-02"
"15",2534.580078,"2017-10-03"
"16",2537.73999,"2017-10-04"
"17",2552.070068,"2017-10-05"
"18",2549.330078,"2017-10-06"
"19",2544.72998,"2017-10-09"
"20",2550.639893,"2017-10-10"
"21",2555.23999,"2017-10-11"
"22",2550.929932,"2017-10-12"
"23",2553.169922,"2017-10-13"
"24",2557.639893,"2017-10-16"
"25",2559.360107,"2017-10-17"
"26",2561.26001,"2017-10-18"
"27",2562.100098,"2017-10-19"
"28",2575.209961,"2017-10-20"
"29",2564.97998,"2017-10-23"
"30",2569.129883,"2017-10-24"
"31",2557.149902,"2017-10-25"
"32",2560.399902,"2017-10-26"
"33",2581.070068,"2017-10-27"
"34",2572.830078,"2017-10-30"
"35",2575.26001,"2017-10-31"
"36",2579.360107,"2017-11-01"
"37",2579.850098,"2017-11-02"
"38",2587.840088,"2017-11-03"
"39",2591.129883,"2017-11-06"
"40",2590.639893,"2017-11-07"
"41",2594.379883,"2017-11-08"
"42",2584.620117,"2017-11-09"
"43",2582.300049,"2017-11-10"
"44",2584.840088,"2017-11-13"
"45",2578.870117,"2017-11-14"
"46",2564.620117,"2017-11-15"
"47",2585.639893,"2017-11-16"
"48",2578.850098,"2017-11-17"
"49",2582.139893,"2017-11-20"
"50",2599.030029,"2017-11-21"
"51",2597.080078,"2017-11-22"
"52",2602.419922,"2017-11-24"
"53",2601.419922,"2017-11-27"
"54",2627.040039,"2017-11-28"
"55",2626.070068,"2017-11-29"
"56",2647.580078,"2017-11-30"
"57",2642.219971,"2017-12-01"
"58",2639.439941,"2017-12-04"
"59",2629.570068,"2017-12-05"
"60",2629.27002,"2017-12-06"
"61",2636.97998,"2017-12-07"
"62",2651.5,"2017-12-08"
"63",2659.98999,"2017-12-11"
"64",2664.110107,"2017-12-12"
"65",2662.850098,"2017-12-13"
"66",2652.01001,"2017-12-14"
"67",2675.810059,"2017-12-15"
"68",2690.159912,"2017-12-18"
"69",2681.469971,"2017-12-19"
"70",2679.25,"2017-12-20"
"71",2684.570068,"2017-12-21"
"72",2683.340088,"2017-12-22"
"73",2680.5,"2017-12-26"
"74",2682.620117,"2017-12-27"
"75",2687.540039,"2017-12-28"
"76",2673.610107,"2017-12-29"
"77",2695.810059,"2018-01-02"
"78",2713.060059,"2018-01-03"
"79",2723.98999,"2018-01-04"
"80",2743.149902,"2018-01-05"
"81",2747.709961,"2018-01-08"
"82",2751.290039,"2018-01-09"
"83",2748.22998,"2018-01-10"
"84",2767.560059,"2018-01-11"
"85",2786.23999,"2018-01-12"
"86",2776.419922,"2018-01-16"
"87",2802.560059,"2018-01-17"
"88",2798.030029,"2018-01-18"
"89",2810.300049,"2018-01-19"
"90",2832.969971,"2018-01-22"
"91",2839.129883,"2018-01-23"
"92",2837.540039,"2018-01-24"
"93",2839.25,"2018-01-25"
"94",2872.870117,"2018-01-26"
"95",2853.530029,"2018-01-29"
"96",2822.429932,"2018-01-30"
"97",2823.810059,"2018-01-31"
"98",2821.97998,"2018-02-01"
"99",2762.129883,"2018-02-02"
"100",2648.939941,"2018-02-05"
"101",2695.139893,"2018-02-06"
"102",2681.659912,"2018-02-07"
"103",2581,"2018-02-08"
"104",2619.550049,"2018-02-09"
"105",2656,"2018-02-12"
"106",2662.939941,"2018-02-13"
"107",2698.629883,"2018-02-14"
"108",2731.199951,"2018-02-15"
"109",2732.219971,"2018-02-16"
"110",2716.26001,"2018-02-20"
"111",2701.330078,"2018-02-21"
"112",2703.959961,"2018-02-22"
"113",2747.300049,"2018-02-23"
"114",2779.600098,"2018-02-26"
"115",2744.280029,"2018-02-27"
"116",2713.830078,"2018-02-28"
"117",2677.669922,"2018-03-01"
"118",2691.25,"2018-03-02"
"119",2720.939941,"2018-03-05"
"120",2728.120117,"2018-03-06"
"121",2726.800049,"2018-03-07"
"122",2738.969971,"2018-03-08"
"123",2786.570068,"2018-03-09"
"124",2783.02002,"2018-03-12"
"125",2765.310059,"2018-03-13"
"126",2749.47998,"2018-03-14"
"127",2747.330078,"2018-03-15"
"128",2752.01001,"2018-03-16"
